id,image_path,json_path,product_name,brand,master_category,subcategory,article_type,gender,age_group,base_color,season,usage,year,pattern,material,fit,neck,sleeve,occasion,price,discounted_price,fashion_type,display_categories,description,search_text
1536,images/1536.jpg,styles/1536.json,Puma Men Black Net Jersey,Puma,Apparel,Topwear,Tshirts,Men,Adults-Men,Black,Fall,Sports,2010,Solid,Polyester,Regular Fit,Round Neck,Short Sleeves,Sports,1299,1299,Fashion,Sports Wear,"Composition Black jersey made of 100% polyester, has short sleeves, piping from the chest to hem and embroidered branding on left chest Fit Regular Wash care Gentle machine wash in lukewarm water Do not bleach Tumble dry at low temperature Cool iron Do not dry clean puma, the classic Sports brand, celebrates minimalistic styles in its sport themed wear. This puma dry fit jersey is designed to wick away sweat and keep you looking your fashionable best. Pair it with an oversized jacket, a fitted pair of denims and sleek sports shoes . Model statistics The model wears a size M with height 6' and shoulders 18""","Puma Men Black Net Jersey. Brand: Puma. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Black. Season: Fall. Usage: Sports. Pattern: Solid. Material: Polyester. Fit: Regular Fit. Occasion: Sports. Description: Composition Black jersey made of 100% polyester, has short sleeves, piping from the chest to hem and embroidered branding on left chest Fit Regular Wash care Gentle machine wash in lukewarm water Do not bleach Tumble dry at low temperature Cool iron Do not dry clean puma, the classic Sports brand, celebrates minimalistic styles in its sport themed wear. This puma dry fit jersey is designed to wick away sweat and keep you looking your fashionable best. Pair it with an oversized jacket, a fitted pair of denims and sleek sports shoes . Model statistics The model wears a size M with height 6' and "
1567,images/1567.jpg,styles/1567.json,Artengo Men Training Shorts,Artengo,Apparel,Bottomwear,Shorts,Men,Adults-Men,Black,Fall,Sports,2010,Solid,,,,,,999,999,Fashion,Sports Wear,"1. Mesh fabric at sweat areas for improved ventilation 2. Stretch fabric shorts which allows freedom of movement 3. Very quickly absorbs and wicks perspiration away These are certainly the ultra comfy shorts for playing tennis or for lazing around. You can be assured of comfort in these durable and extremely stretchable pair of shorts! Comfort in a small size! Shorts are the most comfortable and easy to wear outfit ever designed. Worn by one and all, they are eye-catching and come in a range of colours, fits and sizes. Be it at home, an outing or even a day at the office, shorts as an attire lends a casual touch rather effortlessly. It's everyone's and everybody's way of saying &amp;ldquo I'm so cool and comfy&amp;rdquo . Slip into a shorts and feel the comfort take over. Along the way shorts have a knack of winning admirers with its looks as well. In short, you have something thats diminutive in size but spectacular in benefits. The new age dressing for everyone. Do not shortchange this for anything else.","Artengo Men Training Shorts. Brand: Artengo. Category: Apparel. Subcategory: Bottomwear. Type: Shorts. Gender: Men. Color: Black. Season: Fall. Usage: Sports. Pattern: Solid. Description: 1. Mesh fabric at sweat areas for improved ventilation 2. Stretch fabric shorts which allows freedom of movement 3. Very quickly absorbs and wicks perspiration away These are certainly the ultra comfy shorts for playing tennis or for lazing around. You can be assured of comfort in these durable and extremely stretchable pair of shorts! Comfort in a small size! Shorts are the most comfortable and easy to wear outfit ever designed. Worn by one and all, they are eye-catching and come in a range of colours, fits and sizes. Be it at home, an outing or even a day at the office, shorts as an attire l"
1658,images/1658.jpg,styles/1658.json,Nike Men Windrunner Blue Jacket,Nike,Apparel,Topwear,Jackets,Men,Adults-Men,Blue,Fall,Sports,2012,Solid,,,,Long Sleeves,,3795,3795,Fashion,"Sports Wear,Winterwear","Blue jacket made of a blended fabric, has a ribbed turtle neck, full sleeves with ribbed cuffs and hem, full front zipper and zippered pockets on the sides.This high neck jacket would protect you from the cold as well as make a style statement as long as you are wearing it! Warranty for manufacturing defects: 6 months (not valid on products with more than 20% discount)&nbsp;","Nike Men Windrunner Blue Jacket. Brand: Nike. Category: Apparel. Subcategory: Topwear. Type: Jackets. Gender: Men. Color: Blue. Season: Fall. Usage: Sports. Pattern: Solid. Description: Blue jacket made of a blended fabric, has a ribbed turtle neck, full sleeves with ribbed cuffs and hem, full front zipper and zippered pockets on the sides.This high neck jacket would protect you from the cold as well as make a style statement as long as you are wearing it! Warranty for manufacturing defects: 6 months (not valid on products with more than 20% discount)&nbsp;"
1803,images/1803.jpg,styles/1803.json,Tribord Unisex Black T-shirt,Decathlon,Apparel,Topwear,Tshirts,Unisex,Adults-Unisex,Black,Fall,Sports,2010,Solid,Synthetic,,Round Neck,Short Sleeves,,799,799,Fashion,Sports Wear,"Composition Black t-shirt made of 79% polyamide and 21% elastane, with a built up neckline, with elbow length sleeves, stitch detailing and branding along right shoulder Fitting Skin Fit Wash care Normal machine wash 40 degrees Wash dark colours separately Normal tumble dry Cool iron Reverse iron on print Perfect for those wondrous swims, this t-shirt from Tribord is designed using water repellant technology to keep you dry while you enjoy those relaxing moves in water. Made of a polyester and elastene mix fabric, it helps you move with ease, while protecting your skin from the effects of pool water. Model's statistics The model wears size M in t-shirts Height-5.7"", Chest-33"", Waist-25""","Tribord Unisex Black T-shirt. Brand: Decathlon. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Unisex. Color: Black. Season: Fall. Usage: Sports. Pattern: Solid. Material: Synthetic. Description: Composition Black t-shirt made of 79% polyamide and 21% elastane, with a built up neckline, with elbow length sleeves, stitch detailing and branding along right shoulder Fitting Skin Fit Wash care Normal machine wash 40 degrees Wash dark colours separately Normal tumble dry Cool iron Reverse iron on print Perfect for those wondrous swims, this t-shirt from Tribord is designed using water repellant technology to keep you dry while you enjoy those relaxing moves in water. Made of a polyester and elastene mix fabric, it helps you move with ease, while protecting your skin from the effects of pool"
2006,images/2006.jpg,styles/2006.json,Puma Men's African Splash T-shirt,Puma,Apparel,Topwear,Tshirts,Men,Adults-Men,White,Fall,Casual,2010,Printed,Cotton,Regular Fit,Round Neck,Short Sleeves,,899,899,Fashion,"Tshirts,Sale and Clearance,Casual Wear","This super soft white cotton t-shirt has a graphic depiction of Africa in black amidst red and green. It makes for a striking design which is an ode to Africa and its people. This puma t-shirt has a puma leaping cat symbol sewn on the back. Its comfortable round neckline, makes this cotton t-shirt which is a pleasure to wear all year long.&nbsp;","Puma Men's African Splash T-shirt. Brand: Puma. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: White. Season: Fall. Usage: Casual. Pattern: Printed. Material: Cotton. Fit: Regular Fit. Description: This super soft white cotton t-shirt has a graphic depiction of Africa in black amidst red and green. It makes for a striking design which is an ode to Africa and its people. This puma t-shirt has a puma leaping cat symbol sewn on the back. Its comfortable round neckline, makes this cotton t-shirt which is a pleasure to wear all year long.&nbsp;"
2014,images/2014.jpg,styles/2014.json,ADIDAS Men's Classic Yellow Polo T-shirt,ADIDAS,Apparel,Topwear,Tshirts,Men,Adults-Men,Yellow,Fall,Sports,2010,,,,,,,999,999,Fashion,Sports Wear,"This t-shirt is undoubtedly accentuated by the patent three striped of adidas and you can be proud of wearing the brand, anywhere you go. Model statistics The model wears size M in t-shirts Height-5.11"", Shoulders-17.5""","ADIDAS Men's Classic Yellow Polo T-shirt. Brand: ADIDAS. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Yellow. Season: Fall. Usage: Sports. Description: This t-shirt is undoubtedly accentuated by the patent three striped of adidas and you can be proud of wearing the brand, anywhere you go. Model statistics The model wears size M in t-shirts Height-5.11"", Shoulders-17.5"""
2031,images/2031.jpg,styles/2031.json,ADIDAS Men Collared Track Jacket,ADIDAS,Apparel,Topwear,Jackets,Men,Adults-Men,Black,Fall,Sports,2010,,,,,Long Sleeves,Formal,1499,1499,Fashion,"Sports Wear,Winterwear","Apart from being a track jacket, this apparel promises to be the best stylish winter wear you will ever own! Keep your winters hot and monsoons dry in this fashionable jacket from adidas.","ADIDAS Men Collared Track Jacket. Brand: ADIDAS. Category: Apparel. Subcategory: Topwear. Type: Jackets. Gender: Men. Color: Black. Season: Fall. Usage: Sports. Occasion: Formal. Description: Apart from being a track jacket, this apparel promises to be the best stylish winter wear you will ever own! Keep your winters hot and monsoons dry in this fashionable jacket from adidas."
2051,images/2051.jpg,styles/2051.json,Lee Men's Kansas Cream T-shirt,Lee,Apparel,Topwear,Tshirts,Men,Adults-Men,Cream,Winter,Casual,2010,Printed,Blended,Regular Fit,Round Neck,Short Sleeves,,699,699,Fashion,"Tshirts,Sale and Clearance,Casual Wear","This casual, cream colored lee t-shirt bears the name of the birthplace of lee. The striking red lee company foam print adds a spin to this cool t-shirt. &nbsp; Model's Statistics: 1. The model wears size M in t-shirts 2. Height-5.11"", Shoulders-17.5 ""","Lee Men's Kansas Cream T-shirt. Brand: Lee. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Cream. Season: Winter. Usage: Casual. Pattern: Printed. Material: Blended. Fit: Regular Fit. Description: This casual, cream colored lee t-shirt bears the name of the birthplace of lee. The striking red lee company foam print adds a spin to this cool t-shirt. &nbsp; Model's Statistics: 1. The model wears size M in t-shirts 2. Height-5.11"", Shoulders-17.5 """
2126,images/2126.jpg,styles/2126.json,Basics MenNavy Slim Fit Checked Shirt,Basics,Apparel,Topwear,Shirts,Men,Adults-Men,White,Spring,Casual,2011,Checked,Cotton,Slim Fit,,Long Sleeves,Casual,1099,1099,Fashion,"Casual Wear,Sale","Composition: 100% Cotton Care: Machine Wash separately in cold water, use mild detergent. Do not Bleach. Avoid Soaking. Remove promptly. Line Dry inside out in shade. Warm iron only. Do Not Iron Directly on Print/embroidery Fitting: Slim Fit This Navy blue and white check shirt is ideal for use at work and at play. Pair it with your favourite denims and you will be good to go. Model's Statistics: 1. The model wears size M in shirts 2. Height-5.11"", Shoulders-17.5 ""","Basics MenNavy Slim Fit Checked Shirt. Brand: Basics. Category: Apparel. Subcategory: Topwear. Type: Shirts. Gender: Men. Color: White. Season: Spring. Usage: Casual. Pattern: Checked. Material: Cotton. Fit: Slim Fit. Occasion: Casual. Description: Composition: 100% Cotton Care: Machine Wash separately in cold water, use mild detergent. Do not Bleach. Avoid Soaking. Remove promptly. Line Dry inside out in shade. Warm iron only. Do Not Iron Directly on Print/embroidery Fitting: Slim Fit This Navy blue and white check shirt is ideal for use at work and at play. Pair it with your favourite denims and you will be good to go. Model's Statistics: 1. The model wears size M in shirts 2. Height-5.11"", Shoulders-17.5 """
2192,images/2192.jpg,styles/2192.json,ADIDAS Men White Short,ADIDAS,Apparel,Bottomwear,Shorts,Men,Adults-Men,White,Fall,Sports,2010,Striped,Polyester,,,,,999,999,Fashion,Sports Wear,"Composition White shorts made of 100% polyester, with two side pockets, broad elastic waist and adidas 3-Stripes in dark blue along sides Fitting Comfort Wash care Hand wash or machine wash Ideal for all your fitness, Sports training and competition needs, this pair of adidas shorts is made with breathable fabric that wicks away sweat and keeps your dry and fresh, allowing you to focus on your game. Enjoy your fitness activities or simple wear these shorts on relaxing, casual days. The elastic waist provides a comfortable, customised Fit, while the deep side pockets allow you to carry your essentials along, like an ipod or your mobile phone when on the run. Designed for the sporty, the patented adidas 3-Stripes in dark blue stand as a great contrast and reinforce your belief in the brand's aim of high performance.","ADIDAS Men White Short. Brand: ADIDAS. Category: Apparel. Subcategory: Bottomwear. Type: Shorts. Gender: Men. Color: White. Season: Fall. Usage: Sports. Pattern: Striped. Material: Polyester. Description: Composition White shorts made of 100% polyester, with two side pockets, broad elastic waist and adidas 3-Stripes in dark blue along sides Fitting Comfort Wash care Hand wash or machine wash Ideal for all your fitness, Sports training and competition needs, this pair of adidas shorts is made with breathable fabric that wicks away sweat and keeps your dry and fresh, allowing you to focus on your game. Enjoy your fitness activities or simple wear these shorts on relaxing, casual days. The elastic waist provides a comfortable, customised Fit, while the deep side pockets allow you to carry your ess"
